Year,LifeExp,Male Adult Mortality,Female Adult Mortality ,Adult Mortality,Healthcare,GDP
1970,70.7343,236.992,128.466,365.458,1793.813,5234.296666
1971,71.0979,232.152,125.887,358.039,1877.729,5609.3826
1972,71.1779,232.026,124.305,356.331,2008.452,6094.01799
1973,71.3966,228.488,122.92,351.408,2106.882,6726.358956
1974,71.9592,219.819,117.149,336.968,2156.743,7225.69136
1975,72.5434,212.742,112.933,325.675,2253.792,7801.456664
1976,72.8448,206.648,110.078,316.726,2433.021,8592.253537
1977,73.2267,202.603,107.656,310.259,2596.689,9452.576519
1978,73.4091,199,105.872,304.872,2705.892,10564.94822
1979,73.8331,195.119,102.067,297.186,2792.461,11674.18187
1980,73.73,194.955,102.561,297.516,2876.108,12574.79151
1981,74.1174,190.25,100.866,291.116,3033.824,13976.10539
1982,74.4635,183.148,97.53,280.678,3204.802,14433.78773
1983,74.5528,179.711,97.093,276.804,3356.845,15543.89372
1984,74.6747,177.94,96.122,274.062,3538.062,17121.22548
1985,74.65,178.088,95.529,273.617,3726.549,18236.82773
1986,74.7284,177.915,94.575,272.49,3881.39,19071.22719
1987,74.8599,176.195,94.286,270.481,4020.233,20038.9411
1988,74.8333,176.244,94.402,270.646,4301.483,21417.01193
1989,75.1091,174.804,92.515,267.319,4549.058,22857.15443
1990,75.3743,172.059,90.868,262.927,4821.505,23888.60001
1991,75.5243,170.606,90.652,261.258,5037.142,24342.2589
1992,75.779,168.459,88.984,257.443,5237.342,25418.99078
1993,75.5677,170.257,90.066,260.323,5415.718,26387.29373
1994,75.7381,169.025,89.515,258.54,5538.935,27694.85342
1995,75.8522,166.964,89.372,256.336,5668.101,28690.8757
1996,76.1749,158.008,87.123,245.131,5781.606,29967.71272
1997,76.4981,149.441,85.4,234.841,5918.415,31459.13898
1998,76.6592,145.506,83.564,229.07,6116.107,32853.67695
1999,76.6691,144.774,83.804,228.578,6311.61,34515.39023
2000,76.8058,143.926,83.359,227.285,6545.053,36329.95607
2001,76.9194,144.307,84.172,228.479,6903.709,37133.62311
2002,76.9883,144.378,83.72,228.098,7404.382,37997.75966
2003,77.1369,143.909,83.557,227.466,7801.478,39490.27496
2004,77.535,140.559,81.47,222.029,8057.169,41724.63163
2005,77.5264,141.969,81.507,223.476,8285.935,44123.40707
2006,77.7976,141.119,80.928,222.047,8520.734,46302.00088
2007,78.0471,138.605,79.447,218.052,8730.296,48050.22378
2008,78.1273,136.811,78.705,215.516,8725.056,48570.04598
2009,78.4758,134.966,79.055,214.021,9058.826,47194.94335
2010,78.6681,131.884,77.159,209.043,9156.877,48642.61002
2011,78.7023,132.138,77.926,210.064,9155.475,50024.8688
2012,78.8169,131.345,77.717,209.062,9288.591,51708.40116
2013,78.8175,131.259,78.083,209.342,9339.713,53179.01276
2014,78.8785,131.878,79.372,211.25,9643.881,54973.42075
2015,78.7219,134.303,80.429,214.732,10091.061,56572.9189
2016,78.686,138.505,82.097,220.602,10384.558,57638.10184
2017,78.6483,139.215,81.986,221.201,10537.306,59635.09844
2018,78.7997,137.524,80.593,218.117,10720.674,62499.87444
2019,78.916,136.829,79.455,216.284,10995.237,64746.45068
2020,77.0115,162.969,92.257,255.226,11926.393,63515.94918
2021,76.3836,180.549,103.648,284.197,11863.062,70205.05092
2022,77.9789,159.272,90.891,250.163,11606.233,76657.24888
2023,79.3043,146.888,82.423,229.311,12023.46,81032.26212